CODIGO,HIJO,NOMBRE,DESCRIPCION CORTA,DESCRIPCION LARGA,CATEGORIA,SUBSUBCATEGORIA1,SUBSUBCATEGORIA2,SUBSUBCATEGORIA3,SUBSUBCATEGORIA4,MARCA,RANGO,AMPERAJE,VOLTAJE,POLOS,OHMS,WATTS,TAMAÑO,SALIDA  RELEVADOR,OPCIONES SALIDA,CARACTERISTICA,CARACTERISTICA2,CARACTERISTICA3,RELACIONADOS,IMAGEN
AMP108,,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,FIMESA,5|10|15|20|25|30|50|100|150|200|600,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-5,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,5,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-10,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,10,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-15,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,15,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-20,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,20,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-25,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,25,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-30,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,30,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-50,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,50,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-100,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,100,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-150,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,150,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
AMP108-200,AMP108,FIMESA amperimetro 108,Amperimetro FIMESA MOD. 108,"Amperimetro para tablero CD FIMESA MOD. 108.Dimensiones  61 x 61mm. Recomendando para uso en equipos donde la resistencia a golpes, vibraciones y cambios de temperatura tiene mayor importancia que la precision.Hasta  30 ACD es conexion directa",Medición,Equipo para tablero analógico,Amperímetros Analógicos CD,,,,200,,,,,,,,,,,,SHUNTFW,amp108.jpg|dimensiones 108118.jpg|dimensiones 108118-1.jpg
